28X | 2250 | 9332 | 028X-004
route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
028X-164,1609-Liberty-Weekday-31,9328-1387384,Inbound-AIRPORT FLYER TO DOWNTOWN & OAKLAND,1,028X-001,028X0094
028X-164,1609-Liberty-Weekday-31,9329-1387383,Inbound-AIRPORT FLYER TO DOWNTOWN & OAKLAND,1,058 -026,028X0094
028X-164,1609-Liberty-Weekday-31,9330-1387190,Inbound-AIRPORT FLYER TO DOWNTOWN & OAKLAND,1,058 -027,028X0094
028X-164,1609-Liberty-Weekday-31,9331-1387191,Inbound-AIRPORT FLYER TO DOWNTOWN & OAKLAND,1,028X-002,028X0094
028X-164,1609-Liberty-Weekday-31,9332-1387192,Inbound-AIRPORT FLYER TO DOWNTOWN & OAKLAND,1,028X-004,028X0094
028X-164,1609-Liberty-Weekday-31,9333-1387193,Inbound-AIRPORT FLYER TO DOWNTOWN & OAKLAND,1,028X-005,028X0094
028X-164,1609-Liberty-Weekday-31,9334-1387194,Inbound-AIRPORT FLYER TO DOWNTOWN & OAKLAND,1,028X-007,028X0094
028X-164,1609-Liberty-Weekday-31,9335-1387266,Inbound-AIRPORT FLYER TO DOWNTOWN & OAKLAND,1,028X-003,028X0094
028X-164,1609-Liberty-Weekday-31,9336-1387191,Inbound-AIRPORT FLYER TO DOWNTOWN & OAKLAND,1,028X-002,028X0094
028X-164,1609-Liberty-Weekday-31,9337-1387409,Inbound-AIRPORT FLYER TO DOWNTOWN & OAKLAND,1,028X-006,028X0094
028X-164,1609-Liberty-Weekday-31,9338-1387390,Inbound-AIRPORT FLYER TO DOWNTOWN & OAKLAND,1,028X-008,028X0094
028X-164,1609-Liberty-Weekday-31,9339-1387394,Inbound-AIRPORT FLYER TO DOWNTOWN & OAKLAND,1,028X-009,028X0094
028X-164,1609-Liberty-Weekday-31,9340-1387398,Inbound-AIRPORT FLYER TO DOWNTOWN & OAKLAND,1,028X-010,028X0094
028X-164,1609-Liberty-Weekday-31,9341-1387392,Inbound-AIRPORT FLYER TO DOWNTOWN & OAKLAND,1,028X-011,028X0094
028X-164,1609-Liberty-Weekday-31,9342-1387403,Inbound-AIRPORT FLYER TO DOWNTOWN & OAKLAND,1,028X-012,028X0094
028X-164,1609-Liberty-Weekday-31,9343-1387390,Inbound-AIRPORT FLYER TO DOWNTOWN & OAKLAND,1,028X-008,028X0094
028X-164,1609-Liberty-Weekday-31,9344-1387394,Inbound-AIRPORT FLYER TO DOWNTOWN & OAKLAND,1,028X-009,028X0094
028X-164,1609-Liberty-Weekday-31,9345-1387398,Inbound-AIRPORT FLYER TO DOWNTOWN & OAKLAND,1,028X-010,028X0094
028X-164,1609-Liberty-Weekday-31,9346-1387392,Inbound-AIRPORT FLYER TO DOWNTOWN & OAKLAND,1,028X-011,028X0094
028X-164,1609-Liberty-Weekday-31,9347-1387403,Inbound-AIRPORT FLYER TO DOWNTOWN & OAKLAND,1,028X-012,028X0094
028X-164,1609-Liberty-Weekday-31,9348-1387634,Inbound-AIRPORT FLYER TO DOWNTOWN & OAKLAND,1,028X-013,028X0094
028X-164,1609-Liberty-Weekday-31,9349-1387395,Inbound-AIRPORT FLYER TO DOWNTOWN & OAKLAND,1,028X-014,028X0094
028X-164,1609-Liberty-Weekday-31,9350-1387399,Inbound-AIRPORT FLYER TO DOWNTOWN & OAKLAND,1,028X-015,028X0094
028X-164,1609-Liberty-Weekday-31,9351-1387402,Inbound-AIRPORT FLYER TO DOWNTOWN & OAKLAND,1,028X-016,028X0094
028X-164,1609-Liberty-Weekday-31,9352-1387404,Inbound-AIRPORT FLYER TO DOWNTOWN & OAKLAND,1,028X-017,028X0094
028X-164,1609-Liberty-Weekday-31,9353-1387414,Inbound-AIRPORT FLYER TO DOWNTOWN & OAKLAND,1,028X-018,028X0094
028X-164,1609-Liberty-Weekday-31,9354-1387395,Inbound-AIRPORT FLYER TO DOWNTOWN & OAKLAND,1,028X-014,028X0094
028X-164,1609-Liberty-Weekday-31,9355-1387408,Inbound-AIRPORT FLYER TO DOWNTOWN & OAKLAND,1,028X-019,028X0094
028X-164,1609-Liberty-Weekday-31,9356-1387402,Inbound-AIRPORT FLYER TO DOWNTOWN & OAKLAND,1,028X-016,028X0094
028X-164,1609-Liberty-Weekday-31,9357-1387404,Inbound-AIRPORT FLYER TO DOWNTOWN & OAKLAND,1,028X-017,028X0094
028X-164,1609-Liberty-Weekday-31,9358-1387414,Inbound-AIRPORT FLYER TO DOWNTOWN & OAKLAND,1,028X-018,028X0094
028X-164,1609-Liberty-Weekday-31,9359-1387412,Inbound-AIRPORT FLYER TO DOWNTOWN & OAKLAND,1,028X-021,028X0094
028X-164,1609-Liberty-Weekday-31,9360-1387408,Inbound-AIRPORT FLYER TO DOWNTOWN & OAKLAND,1,028X-019,028X0094
028X-164,1609-Liberty-Weekday-31,9361-1387289,Inbound-AIRPORT FLYER TO DOWNTOWN & OAKLAND,1,P71 -463,028X0094
028X-164,1609-Liberty-Weekday-31,9362-1387386,Inbound-AIRPORT FLYER TO DOWNTOWN & OAKLAND,1,028X-022,028X0094
028X-164,1609-Liberty-Weekday-31,9363-1387271,Inbound-AIRPORT FLYER TO DOWNTOWN & OAKLAND,1,028X-020,028X0094
028X-164,1609-Liberty-Weekday-31,9364-1387412,Inbound-AIRPORT FLYER TO DOWNTOWN & OAKLAND,1,028X-021,028X0094
028X-164,1609-Liberty-Weekday-31,9365-1387417,Inbound-AIRPORT FLYER TO DOWNTOWN & OAKLAND,1,028X-023,028X0094
028X-164,1609-Liberty-Weekday-31,9366-1387557,Inbound-AIRPORT FLYER TO DOWNTOWN & OAKLAND,1,028X-024,028X0094
028X-164,1609-Liberty-Weekday-31,9367-1387460,Inbound-AIRPORT FLYER TO DOWNTOWN & OAKLAND,1,028X-025,028X0094
028X-164,1609-Liberty-Weekday-31,10877-1387384,Outbound-AIRPORT FLYER PGH INT'L AIRPORT VIA ROBINSON TOWN CTR,0,028X-001,028X0100
028X-164,1609-Liberty-Weekday-31,10878-1387383,Outbound-AIRPORT FLYER PGH INT'L AIRPORT VIA ROBINSON TOWN CTR,0,058 -026,028X0100
028X-164,1609-Liberty-Weekday-31,10879-1387190,Outbound-AIRPORT FLYER PGH INT'L AIRPORT VIA ROBINSON TOWN CTR,0,058 -027,028X0100
028X-164,1609-Liberty-Weekday-31,10880-1387191,Outbound-AIRPORT FLYER PGH INT'L AIRPORT VIA ROBINSON TOWN CTR,0,028X-002,028X0100
028X-164,1609-Liberty-Weekday-31,10882-1387192,Outbound-AIRPORT FLYER PGH INT'L AIRPORT VIA ROBINSON TOWN CTR,0,028X-004,028X0100
028X-164,1609-Liberty-Weekday-31,10884-1387193,Outbound-AIRPORT FLYER PGH INT'L AIRPORT VIA ROBINSON TOWN CTR,0,028X-005,028X0100
028X-164,1609-Liberty-Weekday-31,10886-1387194,Outbound-AIRPORT FLYER PGH INT'L AIRPORT VIA ROBINSON TOWN CTR,0,028X-007,028X0100
028X-164,1609-Liberty-Weekday-31,10888-1387266,Outbound-AIRPORT FLYER PGH INT'L AIRPORT VIA ROBINSON TOWN CTR,0,028X-003,028X0100
028X-164,1609-Liberty-Weekday-31,10890-1387191,Outbound-AIRPORT FLYER PGH INT'L AIRPORT VIA ROBINSON TOWN CTR,0,028X-002,028X0100
028X-164,1609-Liberty-Weekday-31,10893-1387409,Outbound-AIRPORT FLYER PGH INT'L AIRPORT VIA ROBINSON TOWN CTR,0,028X-006,028X0100
